Line no. 	 Token no. 		 Token 		 Lexeme

      2		       0		 Special symbol	       #
      2		       1		 Identifier	    line
      2		       2		 Digit		       3
      2		       3		 Identifier	     lex
      2		       4		 Identifier	      yy
      2		       5		 Identifier	       c
      4		       6		 Special symbol	       #
      4		       7		 Identifier	  define
      4		       8		 Identifier	      YY
      4		       9		 Identifier	     INT
      4		      10		 Identifier	 ALIGNED
      4		      11		 Keyword	   short
      4		      12		 Keyword	     int
      5		      13		 Operator	       /
      5		      14		 Operator	       *
      5		      15		 Identifier	       A
      5		      16		 Identifier	 lexical
      5		      17		 Identifier	 scanner
      5		      18		 Identifier	 generated
      5		      19		 Identifier	      by
      5		      20		 Identifier	    flex
      5		      21		 Operator	       *
      5		      22		 Operator	       /
      7		      23		 Special symbol	       #
      7		      24		 Identifier	  define
      7		      25		 Identifier	    FLEX
      7		      26		 Identifier	 SCANNER
      7		      27		 Special symbol	       #
      7		      28		 Identifier	  define
      7		      29		 Identifier	      YY
      7		      30		 Identifier	    FLEX
      7		      31		 Identifier	   MAJOR
      7		      32		 Identifier	 VERSION
      7		      33		 Digit		       2
      8		      34		 Special symbol	       #
      8		      35		 Identifier	  define
      8		      36		 Identifier	      YY
      8		      37		 Identifier	    FLEX
      8		      38		 Identifier	   MINOR
      8		      39		 Identifier	 VERSION
      8		      40		 Digit		       6
      9		      41		 Special symbol	       #
      9		      42		 Identifier	  define
      9		      43		 Identifier	      YY
      9		      44		 Identifier	    FLEX
      9		      45		 Identifier	 SUBMINOR
      9		      46		 Identifier	 VERSION
      9		      47		 Digit		       4
     10		      48		 Special symbol	       #
     10		      49		 Keyword	      if
     10		      50		 Identifier	      YY
     10		      51		 Identifier	    FLEX
     10		      52		 Identifier	 SUBMINOR
     10		      53		 Identifier	 VERSION
     10		      54		 Digit		       0
     11		      55		 Special symbol	       #
     11		      56		 Identifier	  define
     11		      57		 Identifier	    FLEX
     11		      58		 Identifier	    BETA
     11		      59		 Special symbol	       #
     11		      60		 Identifier	   endif
     12		      61		 Operator	       /
     12		      62		 Operator	       *
     12		      63		 Identifier	   First
     12		      64		 Identifier	      we
     12		      65		 Identifier	    deal
     12		      66		 Identifier	    with
     12		      67		 Identifier	 platform
     12		      68		 Identifier	 specific
     12		      69		 Identifier	      or
     12		      70		 Identifier	 compiler
     12		      71		 Identifier	 specific
     12		      72		 Identifier	  issues
     12		      73		 Operator	       *
     12		      74		 Operator	       /
     14		      75		 Operator	       /
     14		      76		 Operator	       *
     14		      77		 Identifier	   begin
     14		      78		 Identifier	 standard
     14		      79		 Identifier	       C
     14		      80		 Identifier	 headers
     14		      81		 Operator	       *
     14		      82		 Operator	       /
     15		      83		 Special symbol	       #
     15		      84		 Identifier	 include
     15		      85		 Identifier	   stdio
     15		      86		 Identifier	       h
     16		      87		 Special symbol	       #
     16		      88		 Identifier	 include
     16		      89		 Identifier	  string
     16		      90		 Identifier	       h
     17		      91		 Special symbol	       #
     17		      92		 Identifier	 include
     17		      93		 Identifier	   errno
     17		      94		 Identifier	       h
     18		      95		 Special symbol	       #
     18		      96		 Identifier	 include
     18		      97		 Identifier	  stdlib
     18		      98		 Identifier	       h
     20		      99		 Operator	       /
     20		     100		 Operator	       *
     20		     101		 Identifier	     end
     20		     102		 Identifier	 standard
     20		     103		 Identifier	       C
     20		     104		 Identifier	 headers
     20		     105		 Operator	       *
     20		     106		 Operator	       /
     22		     107		 Operator	       /
     22		     108		 Operator	       *
     22		     109		 Identifier	    flex
     22		     110		 Identifier	 integer
     22		     111		 Identifier	    type
     22		     112		 Identifier	 definitions
     22		     113		 Operator	       *
     22		     114		 Operator	       /
     24		     115		 Special symbol	       #
     24		     116		 Identifier	  ifndef
     24		     117		 Identifier	 FLEXINT
     24		     118		 Identifier	       H
     24		     119		 Special symbol	       #
     24		     120		 Identifier	  define
     24		     121		 Identifier	 FLEXINT
     24		     122		 Identifier	       H
     25		     123		 Operator	       /
     25		     124		 Operator	       *
     25		     125		 Identifier	     C99
     25		     126		 Identifier	 systems
     25		     127		 Identifier	    have
     25		     128		 Identifier	 inttypes
     25		     129		 Identifier	       h
     25		     130		 Identifier	     Non
     25		     131		 Identifier	     C99
     25		     132		 Identifier	 systems
     25		     133		 Identifier	     may
     25		     134		 Identifier	      or
     25		     135		 Identifier	     may
     25		     136		 Identifier	     not
     25		     137		 Operator	       *
     25		     138		 Operator	       /
     27		     139		 Special symbol	       #
     27		     140		 Keyword	      if
     27		     141		 Identifier	 defined
     27		     142		 Special symbol	       (
     27		     143		 Identifier	    STDC
     27		     144		 Identifier	 VERSION
     27		     145		 Special symbol	       )
     27		     146		 Identifier	    STDC
     27		     147		 Identifier	 VERSION
     27		     148		 Digit		       1
     27		     149		 Digit		       9
     27		     150		 Digit		       9
     27		     151		 Digit		       9
     27		     152		 Digit		       0
     27		     153		 Digit		       1
     27		     154		 Identifier	       L
     28		     155		 Operator	       /
     28		     156		 Operator	       *
     28		     157		 Identifier	     C99
     28		     158		 Identifier	    says
     28		     159		 Identifier	      to
     28		     160		 Identifier	  define
     28		     161		 Identifier	    STDC
     28		     162		 Identifier	   LIMIT
     28		     163		 Identifier	  MACROS
     28		     164		 Identifier	  before
     28		     165		 Identifier	 including
     28		     166		 Identifier	  stdint
     28		     167		 Identifier	       h
     29		     168		 Operator	       *
     29		     169		 Keyword	      if
     29		     170		 Identifier	     you
     29		     171		 Identifier	    want
     29		     172		 Identifier	     the
     29		     173		 Identifier	   limit
     29		     174		 Special symbol	       (
     29		     175		 Identifier	     max
     29		     176		 Identifier	     min
     29		     177		 Identifier	  macros
     29		     178		 Keyword	     for
     29		     179		 Keyword	     int
     29		     180		 Identifier	   types
     30		     181		 Operator	       *
     30		     182		 Operator	       /
     31		     183		 Special symbol	       #
     31		     184		 Identifier	  ifndef
     31		     185		 Identifier	    STDC
     31		     186		 Identifier	   LIMIT
     31		     187		 Identifier	  MACROS
     31		     188		 Special symbol	       #
     31		     189		 Identifier	  define
     31		     190		 Identifier	    STDC
     31		     191		 Identifier	   LIMIT
     31		     192		 Identifier	  MACROS
     31		     193		 Digit		       1
     32		     194		 Special symbol	       #
     32		     195		 Identifier	   endif
     33		     196		 Special symbol	       #
     33		     197		 Identifier	 include
     33		     198		 Identifier	 inttypes
     33		     199		 Identifier	       h
     34		     200		 Keyword	 typedef
     34		     201		 Identifier	    int8
     34		     202		 Identifier	       t
     34		     203		 Identifier	    flex
     34		     204		 Identifier	    int8
     34		     205		 Identifier	       t
     35		     206		 Keyword	 typedef
     35		     207		 Identifier	   uint8
     35		     208		 Identifier	       t
     35		     209		 Identifier	    flex
     35		     210		 Identifier	   uint8
     35		     211		 Identifier	       t
     36		     212		 Keyword	 typedef
     36		     213		 Identifier	   int16
     36		     214		 Identifier	       t
     36		     215		 Identifier	    flex
     36		     216		 Identifier	   int16
     36		     217		 Identifier	       t
     37		     218		 Keyword	 typedef
     37		     219		 Identifier	  uint16
     37		     220		 Identifier	       t
     37		     221		 Identifier	    flex
     37		     222		 Identifier	  uint16
     37		     223		 Identifier	       t
     38		     224		 Keyword	 typedef
     38		     225		 Identifier	   int32
     38		     226		 Identifier	       t
     38		     227		 Identifier	    flex
     38		     228		 Identifier	   int32
     38		     229		 Identifier	       t
     39		     230		 Keyword	 typedef
     39		     231		 Identifier	  uint32
     39		     232		 Identifier	       t
     39		     233		 Identifier	    flex
     39		     234		 Identifier	  uint32
     39		     235		 Identifier	       t
     40		     236		 Special symbol	       #
     40		     237		 Keyword	    else
     40		     238		 Keyword	 typedef
     40		     239		 Keyword	  signed
     40		     240		 Keyword	    char
     40		     241		 Identifier	    flex
     40		     242		 Identifier	    int8
     40		     243		 Identifier	       t
     41		     244		 Keyword	 typedef
     41		     245		 Keyword	   short
     41		     246		 Keyword	     int
     41		     247		 Identifier	    flex
     41		     248		 Identifier	   int16
     41		     249		 Identifier	       t
     42		     250		 Keyword	 typedef
     42		     251		 Keyword	     int
     42		     252		 Identifier	    flex
     42		     253		 Identifier	   int32
     42		     254		 Identifier	       t
     43		     255		 Keyword	 typedef
     43		     256		 Keyword	 unsigned
     43		     257		 Keyword	    char
     43		     258		 Identifier	    flex
     43		     259		 Identifier	   uint8
     43		     260		 Identifier	       t
     44		     261		 Keyword	 typedef
     44		     262		 Keyword	 unsigned
     44		     263		 Keyword	   short
     44		     264		 Keyword	     int
     44		     265		 Identifier	    flex
     44		     266		 Identifier	  uint16
     44		     267		 Identifier	       t
     45		     268		 Keyword	 typedef
     45		     269		 Keyword	 unsigned
     45		     270		 Keyword	     int
     45		     271		 Identifier	    flex
     45		     272		 Identifier	  uint32
     45		     273		 Identifier	       t
     47		     274		 Operator	       /
     47		     275		 Operator	       *
     47		     276		 Identifier	  Limits
     47		     277		 Identifier	      of
     47		     278		 Identifier	 integral
     47		     279		 Identifier	   types
     47		     280		 Operator	       *
     47		     281		 Operator	       /
     48		     282		 Special symbol	       #
     48		     283		 Identifier	  ifndef
     48		     284		 Identifier	    INT8
     48		     285		 Identifier	     MIN
     48		     286		 Special symbol	       #
     48		     287		 Identifier	  define
     48		     288		 Identifier	    INT8
     48		     289		 Identifier	     MIN
     48		     290		 Special symbol	       (
     48		     291		 Operator	       -
     48		     292		 Digit		       1
     48		     293		 Digit		       2
     48		     294		 Digit		       8
     48		     295		 Special symbol	       )
     49		     296		 Special symbol	       #
     49		     297		 Identifier	   endif
     49		     298		 Special symbol	       #
     49		     299		 Identifier	  ifndef
     49		     300		 Identifier	   INT16
     49		     301		 Identifier	     MIN
     49		     302		 Special symbol	       #
     49		     303		 Identifier	  define
     49		     304		 Identifier	   INT16
     49		     305		 Identifier	     MIN
     49		     306		 Special symbol	       (
     49		     307		 Operator	       -
     49		     308		 Digit		       3
     49		     309		 Digit		       2
     49		     310		 Digit		       7
     49		     311		 Digit		       6
     49		     312		 Digit		       7
     49		     313		 Operator	       -
     49		     314		 Digit		       1
     49		     315		 Special symbol	       )
     50		     316		 Special symbol	       #
     50		     317		 Identifier	   endif
